,Actual sales,Forecasted sales,max_sales,min_sales
0,9,11,16,6
1,9,11,16,6
2,6,9,14,4
3,8,10,15,5
4,8,10,15,5
5,10,11,16,6
6,3,7,12,2
7,10,11,16,6
8,6,9,14,4
9,7,9,14,4
10,6,9,14,4
11,5,8,13,3
12,11,10,15,5
13,11,10,15,5
14,5,7,12,2
15,9,9,14,4
16,7,9,14,4
17,3,7,12,2
18,7,9,14,4
19,8,9,14,4
20,13,10,15,5
21,7,9,14,4
22,9,9,14,4
23,9,10,15,5
24,12,11,16,6
25,13,11,16,6
26,8,10,15,5
27,8,10,15,5
28,4,7,12,2
29,8,10,15,5
30,12,11,16,6
31,10,11,16,6
32,5,8,13,3
33,8,10,15,5
34,11,11,16,6
35,10,11,16,6
36,7,10,15,5
37,12,11,16,6
38,10,10,15,5
39,9,10,15,5
40,6,9,14,4
41,8,10,15,5
42,10,10,15,5
43,5,9,14,4
44,7,10,15,5
45,9,10,15,5
46,6,9,14,4
47,6,9,14,4
48,6,9,14,4
49,15,11,16,6
50,8,9,14,4
51,3,7,12,2
52,2,7,12,2
53,11,10,15,5
54,6,7,12,2
55,9,9,14,4
56,10,9,14,4
57,13,11,16,6
58,15,11,16,6
59,8,9,14,4
60,6,7,12,2
61,7,8,13,3
62,5,7,12,2
63,7,8,13,3
64,9,10,15,5
65,9,10,15,5
66,12,11,16,6
67,13,12,17,7
68,7,10,15,5
69,7,10,15,5
70,7,9,14,4
71,7,9,14,4
72,8,10,15,5
73,3,7,12,2
74,5,8,13,3
75,8,9,14,4
76,7,9,14,4
77,10,10,15,5
78,8,9,14,4
79,8,9,14,4
80,6,8,13,3
81,12,10,15,5
82,30,11,16,6
83,11,8,13,3
84,8,8,13,3
85,5,9,14,4
86,7,9,14,4
87,6,9,14,4
88,18,12,17,7
89,11,10,15,5
90,6,10,15,5
91,4,10,15,5
92,6,10,15,5
93,10,10,15,5
94,15,12,17,7
95,10,10,15,5
96,6,8,13,3
97,1,7,12,2
98,6,7,12,2
99,9,9,14,4
100,6,7,12,2
101,9,8,13,3
102,9,8,13,3
103,3,6,11,1
104,2,6,11,1
105,4,7,12,2
106,4,6,11,1
107,3,6,11,1
108,7,7,12,2
109,3,7,12,2
110,7,8,13,3
111,5,7,12,2
112,4,7,12,2
113,6,7,12,2
114,5,7,12,2
115,7,8,13,3
116,10,8,13,3
117,10,9,14,4
118,9,9,14,4
119,9,9,14,4
120,4,7,12,2
121,7,9,14,4
122,10,9,14,4
123,11,10,15,5
124,7,9,14,4
125,10,10,15,5
126,5,8,13,3
127,9,10,15,5
128,11,10,15,5
129,15,11,16,6
130,10,10,15,5
131,11,10,15,5
132,11,11,16,6
133,2,6,11,1
134,6,7,12,2
135,2,6,11,1
136,9,9,14,4
137,7,7,12,2
138,7,8,13,3
139,8,8,13,3
140,10,9,14,4
141,9,9,14,4
142,8,9,14,4
143,5,7,12,2
144,15,10,15,5
145,8,8,13,3
146,14,11,16,6
147,8,10,15,5
148,9,10,15,5
149,8,10,15,5
150,13,11,16,6
151,6,9,14,4
152,7,10,15,5
153,7,10,15,5
154,11,11,16,6
155,11,11,16,6
156,12,12,17,7
157,12,12,17,7
158,18,12,17,7
159,10,11,16,6
160,9,11,16,6
161,9,11,16,6
162,14,12,17,7
163,6,10,15,5
164,11,11,16,6
165,7,11,16,6
166,10,11,16,6
167,7,11,16,6
168,9,11,16,6
169,11,11,16,6
170,12,12,17,7
171,8,11,16,6
172,13,12,17,7
173,10,11,16,6
174,6,10,15,5
175,9,11,16,6
176,17,12,17,7
177,16,12,17,7
178,15,12,17,7
179,7,11,16,6
180,6,10,15,5
181,4,9,14,4
182,9,11,16,6
183,8,11,16,6
184,16,12,17,7
185,14,12,17,7
186,10,11,16,6
187,21,12,17,7
188,12,13,18,8
189,15,13,18,8
190,10,10,15,5
191,12,12,17,7
192,21,13,18,8
193,23,15,20,10
194,12,15,20,10
195,17,16,21,11
196,16,16,21,11
197,16,16,21,11
198,13,17,22,12
199,13,16,21,11
200,20,17,22,12
201,32,18,23,13
202,11,15,20,10
203,23,17,22,12
204,23,17,22,12
205,15,17,22,12
206,14,17,22,12
207,17,17,22,12
208,20,17,22,12
209,14,17,22,12
210,13,18,23,13
211,27,18,23,13
212,23,18,23,13
213,16,18,23,13
214,15,16,21,11
215,9,14,19,9
216,11,14,19,9
217,7,12,17,7
218,10,12,17,7
219,13,15,20,10
220,14,15,20,10
221,16,15,20,10
222,11,12,17,7
223,16,14,19,9
224,7,12,17,7
225,20,14,19,9
226,12,14,19,9
227,14,14,19,9
228,40,15,20,10
229,24,18,23,13
230,29,19,24,14
231,27,19,24,14
232,19,19,24,14
233,15,19,24,14
234,16,19,24,14
235,14,19,24,14
236,16,18,23,13
237,16,18,23,13
238,19,18,23,13
239,11,14,19,9
240,9,13,18,8
241,15,15,20,10
242,8,12,17,7
243,13,15,20,10
244,14,15,20,10
245,10,13,18,8
246,7,12,17,7
247,12,14,19,9
248,11,12,17,7
249,7,12,17,7
250,11,12,17,7
251,12,13,18,8
252,13,13,18,8
253,11,12,17,7
254,8,12,17,7
255,15,13,18,8
256,10,12,17,7
257,15,12,17,7
258,10,12,17,7
259,12,13,18,8
260,9,12,17,7
261,9,13,18,8
262,13,14,19,9
263,11,13,18,8
264,12,13,18,8
265,9,12,17,7
266,19,14,19,9
267,15,14,19,9
268,9,12,17,7
269,16,13,18,8
270,21,14,19,9
271,15,14,19,9
272,15,14,19,9
273,13,16,21,11
274,11,13,18,8
275,12,16,21,11
276,10,13,18,8
277,10,14,19,9
278,13,15,20,10
279,12,15,20,10
280,12,14,19,9
281,9,12,17,7
282,10,13,18,8
283,14,13,18,8
284,11,13,18,8
285,10,12,17,7
286,25,14,19,9
287,14,14,19,9
288,12,14,19,9
289,24,15,20,10
290,18,15,20,10
291,10,12,17,7
292,14,15,20,10
293,14,16,21,11
294,21,17,22,12
295,8,13,18,8
296,15,17,22,12
297,11,14,19,9
298,10,13,18,8
299,13,16,21,11
300,14,15,20,10
301,47,16,21,11
302,16,17,22,12
303,14,17,22,12
304,16,17,22,12
305,10,12,17,7
306,15,16,21,11
307,18,16,21,11
308,15,16,21,11
309,12,16,21,11
310,13,16,21,11
311,9,13,18,8
312,15,15,20,10
313,14,16,21,11
314,16,16,21,11
315,11,14,19,9
316,5,10,15,5
317,11,12,17,7
318,18,14,19,9
319,14,14,19,9
320,13,14,19,9
321,10,12,17,7
322,8,11,16,6
323,18,13,18,8
324,11,12,17,7
325,10,12,17,7
326,14,13,18,8
327,14,13,18,8
328,8,13,18,8
329,8,13,18,8
330,14,14,19,9
331,7,12,17,7
332,11,12,17,7
333,11,12,17,7
334,10,12,17,7
335,13,13,18,8
336,11,12,17,7
337,15,13,18,8
338,13,13,18,8
339,5,9,14,4
340,11,12,17,7
341,17,13,18,8
342,7,11,16,6
343,6,9,14,4
344,9,11,16,6
345,6,9,14,4
346,10,11,16,6
347,13,12,17,7
348,14,13,18,8
349,11,11,16,6
350,14,12,17,7
351,14,13,18,8
352,6,10,15,5
353,14,12,17,7
354,15,12,17,7
355,20,13,18,8
356,7,10,15,5
357,9,11,16,6
358,9,11,16,6
359,12,14,19,9
360,12,14,19,9
361,16,14,19,9
362,16,14,19,9
363,13,14,19,9
364,6,11,16,6
365,6,10,15,5
366,9,11,16,6
367,9,11,16,6
368,10,11,16,6
369,9,11,16,6
370,10,11,16,6
371,7,10,15,5
372,18,12,17,7
373,11,11,16,6
374,11,11,16,6
375,10,10,15,5
376,9,10,15,5
377,15,12,17,7
378,13,13,18,8
379,11,12,17,7
380,9,12,17,7
381,28,13,18,8
382,16,14,19,9
383,11,12,17,7
384,9,12,17,7
385,15,14,19,9
386,19,14,19,9
387,10,12,17,7
388,11,13,18,8
389,12,15,20,10
390,38,15,20,10
391,10,12,17,7
392,16,15,20,10
393,11,12,17,7
394,10,12,17,7
395,10,12,17,7
396,10,12,17,7
397,16,14,19,9
398,5,11,16,6
399,5,11,16,6
400,8,11,16,6
401,9,11,16,6
402,13,12,17,7
403,6,9,14,4
404,14,12,17,7
405,12,12,17,7
406,7,10,15,5
407,12,12,17,7
408,6,9,14,4
409,9,10,15,5
410,7,10,15,5
411,10,11,16,6
412,9,11,16,6
413,16,12,17,7
414,6,9,14,4
415,10,11,16,6
416,10,11,16,6
417,6,9,14,4
418,7,10,15,5
419,3,8,13,3
420,9,10,15,5
421,16,11,16,6
422,7,10,15,5
423,6,8,13,3
424,10,10,15,5
425,12,11,16,6
426,12,11,16,6
427,15,11,16,6
428,12,12,17,7
429,14,12,17,7
430,17,12,17,7
431,10,12,17,7
432,6,10,15,5
433,8,11,16,6
434,5,9,14,4
435,14,13,18,8
436,17,13,18,8
437,12,13,18,8
438,11,12,17,7
439,7,11,16,6
440,14,13,18,8
441,9,12,17,7
442,9,11,16,6
443,6,9,14,4
444,8,10,15,5
445,15,12,17,7
446,10,12,17,7
447,10,12,17,7
448,5,9,14,4
449,12,12,17,7
450,12,12,17,7
451,19,12,17,7
452,14,12,17,7
453,5,9,14,4
454,11,11,16,6
455,16,13,18,8
456,24,13,18,8
457,7,9,14,4
458,12,13,18,8
459,14,14,19,9
460,12,14,19,9
461,18,14,19,9
462,10,11,16,6
463,9,10,15,5
464,7,10,15,5
465,15,15,20,10
466,11,12,17,7
467,14,14,19,9
468,14,13,18,8
469,11,13,18,8
470,19,14,19,9
471,7,12,17,7
472,14,14,19,9
473,17,14,19,9
474,14,14,19,9
475,15,14,19,9
476,25,16,21,11
477,11,13,18,8
