,Period,espresso Lungo Sales,cappuccino classic Sales,Caramel flavor syrup Sales,Latte Classic Sales,cappuccino Grande Sales,Espresso with cream Sales,espresso classic Sales,Hazelnut flavor syrup Sales
0,03/01/2012,22.0,26.0,4.0,8.0,7.0,9.0,2.0,6.0
1,04/01/2012,15.0,38.0,4.0,6.0,7.0,9.0,5.0,8.0
2,05/01/2012,27.0,34.0,0.0,7.0,6.0,6.0,6.0,8.0
3,06/01/2012,25.0,28.0,0.0,8.0,8.0,8.0,3.0,0.0
4,07/01/2012,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
5,08/01/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,09/01/2012,28.0,35.0,8.0,14.0,7.0,8.0,6.0,0.0
7,10/01/2012,40.0,28.0,4.0,11.0,9.0,10.0,4.0,6.0
8,11/01/2012,25.0,32.0,4.0,14.0,5.0,3.0,7.0,8.0
9,12/01/2012,26.0,48.0,26.0,7.0,7.0,10.0,13.0,0.0
10,13/01/2012,27.0,37.0,8.0,10.0,5.0,6.0,6.0,6.0
11,14/01/2012,0.0,5.0,0.0,0.0,2.0,4.0,0.0,0.0
12,15/01/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,16/01/2012,18.0,29.0,16.0,7.0,6.0,7.0,9.0,0.0
14,17/01/2012,20.0,18.0,0.0,8.0,11.0,6.0,8.0,8.0
15,18/01/2012,22.0,27.0,4.0,9.0,7.0,5.0,1.0,0.0
16,19/01/2012,13.0,29.0,20.0,5.0,10.0,11.0,14.0,0.0
17,20/01/2012,37.0,38.0,10.0,12.0,3.0,11.0,9.0,10.0
18,21/01/2012,27.0,21.0,10.0,11.0,3.0,4.0,2.0,8.0
19,22/01/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,23/01/2012,30.0,29.0,0.0,13.0,5.0,5.0,10.0,0.0
21,24/01/2012,30.0,28.0,4.0,15.0,8.0,9.0,7.0,4.0
22,25/01/2012,22.0,23.0,10.0,9.0,5.0,7.0,5.0,4.0
23,26/01/2012,26.0,34.0,22.0,12.0,11.0,3.0,7.0,0.0
24,27/01/2012,24.0,30.0,0.0,11.0,8.0,7.0,4.0,12.0
25,28/01/2012,0.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0
26,29/01/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,30/01/2012,28.0,20.0,12.0,7.0,7.0,8.0,9.0,6.0
28,31/01/2012,21.0,18.0,6.0,9.0,17.0,13.0,10.0,6.0
29,01/02/2012,26.0,30.0,0.0,10.0,11.0,7.0,3.0,4.0
30,02/02/2012,19.0,25.0,0.0,7.0,12.0,9.0,3.0,24.0
31,03/02/2012,16.0,28.0,6.0,5.0,10.0,9.0,4.0,0.0
32,04/02/2012,2.0,6.0,0.0,0.0,2.0,0.0,0.0,6.0
33,05/02/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,06/02/2012,27.0,30.0,4.0,9.0,12.0,12.0,8.0,0.0
35,07/02/2012,12.0,15.0,4.0,10.0,7.0,13.0,8.0,0.0
36,08/02/2012,19.0,30.0,0.0,14.0,8.0,8.0,9.0,10.0
37,09/02/2012,27.0,22.0,0.0,11.0,2.0,8.0,5.0,0.0
38,10/02/2012,27.0,20.0,10.0,7.0,13.0,4.0,5.0,12.0
39,11/02/2012,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
40,12/02/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,13/02/2012,23.0,27.0,0.0,4.0,8.0,8.0,6.0,0.0
42,14/02/2012,45.0,23.0,4.0,10.0,8.0,12.0,5.0,0.0
43,15/02/2012,17.0,18.0,4.0,7.0,5.0,10.0,14.0,8.0
44,16/02/2012,18.0,25.0,4.0,16.0,6.0,5.0,13.0,8.0
45,17/02/2012,12.0,23.0,4.0,9.0,6.0,8.0,12.0,0.0
46,18/02/2012,0.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0
47,19/02/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,20/02/2012,13.0,25.0,8.0,7.0,3.0,11.0,12.0,0.0
49,21/02/2012,18.0,27.0,8.0,7.0,10.0,10.0,9.0,8.0
50,22/02/2012,23.0,35.0,14.0,9.0,9.0,7.0,12.0,10.0
51,23/02/2012,25.0,30.0,0.0,8.0,10.0,12.0,14.0,0.0
52,24/02/2012,24.0,30.0,8.0,6.0,11.0,10.0,9.0,4.0
53,25/02/2012,0.0,2.0,0.0,2.0,1.0,2.0,0.0,4.0
54,26/02/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,27/02/2012,14.0,22.0,8.0,15.0,7.0,9.0,7.0,0.0
56,28/02/2012,19.0,22.0,8.0,8.0,7.0,6.0,12.0,0.0
57,29/02/2012,16.0,19.0,10.0,6.0,7.0,8.0,7.0,10.0
58,01/03/2012,11.0,29.0,0.0,4.0,7.0,10.0,8.0,4.0
59,02/03/2012,11.0,21.0,0.0,5.0,8.0,5.0,9.0,0.0
60,03/03/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,04/03/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,05/03/2012,12.0,16.0,4.0,4.0,6.0,7.0,9.0,4.0
63,06/03/2012,19.0,29.0,0.0,7.0,12.0,9.0,14.0,4.0
64,07/03/2012,19.0,18.0,6.0,6.0,5.0,6.0,11.0,0.0
65,08/03/2012,28.0,16.0,4.0,15.0,4.0,6.0,13.0,0.0
66,09/03/2012,27.0,26.0,4.0,6.0,8.0,6.0,7.0,0.0
67,10/03/2012,0.0,8.0,0.0,4.0,5.0,10.0,0.0,4.0
68,11/03/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,12/03/2012,13.0,35.0,0.0,9.0,12.0,15.0,13.0,4.0
70,13/03/2012,19.0,22.0,0.0,10.0,11.0,8.0,11.0,6.0
71,14/03/2012,22.0,35.0,12.0,11.0,11.0,3.0,18.0,4.0
72,15/03/2012,12.0,20.0,0.0,8.0,5.0,2.0,13.0,10.0
73,16/03/2012,29.0,40.0,8.0,9.0,8.0,11.0,6.0,10.0
74,17/03/2012,12.0,24.0,0.0,8.0,5.0,8.0,7.0,12.0
75,18/03/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,19/03/2012,23.0,33.0,4.0,11.0,13.0,6.0,17.0,0.0
77,20/03/2012,33.0,28.0,16.0,14.0,9.0,9.0,24.0,0.0
78,21/03/2012,34.0,27.0,4.0,12.0,12.0,10.0,19.0,4.0
79,22/03/2012,22.0,23.0,8.0,12.0,7.0,13.0,24.0,12.0
80,23/03/2012,27.0,24.0,14.0,19.0,6.0,15.0,29.0,16.0
81,24/03/2012,0.0,17.0,0.0,9.0,3.0,13.0,0.0,0.0
82,25/03/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,26/03/2012,24.0,33.0,4.0,9.0,7.0,8.0,21.0,10.0
84,27/03/2012,26.0,32.0,12.0,11.0,14.0,6.0,19.0,8.0
85,28/03/2012,27.0,31.0,0.0,8.0,7.0,7.0,16.0,36.0
86,29/03/2012,17.0,28.0,12.0,9.0,5.0,5.0,12.0,8.0
87,30/03/2012,23.0,22.0,0.0,11.0,4.0,7.0,17.0,4.0
88,31/03/2012,0.0,5.0,0.0,3.0,1.0,3.0,0.0,0.0
89,01/04/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,02/04/2012,15.0,19.0,8.0,9.0,10.0,9.0,24.0,12.0
91,03/04/2012,28.0,33.0,12.0,7.0,13.0,9.0,27.0,4.0
92,04/04/2012,35.0,23.0,10.0,6.0,10.0,12.0,20.0,0.0
93,05/04/2012,24.0,32.0,8.0,10.0,7.0,13.0,18.0,8.0
94,06/04/2012,25.0,29.0,10.0,7.0,8.0,7.0,14.0,0.0
95,07/04/2012,0.0,12.0,0.0,5.0,0.0,6.0,0.0,0.0
96,08/04/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,09/04/2012,31.0,24.0,4.0,3.0,7.0,7.0,16.0,12.0
98,10/04/2012,30.0,28.0,0.0,9.0,12.0,7.0,11.0,0.0
99,11/04/2012,43.0,25.0,10.0,4.0,10.0,7.0,12.0,4.0
100,12/04/2012,41.0,40.0,0.0,10.0,8.0,8.0,18.0,4.0
101,13/04/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,14/04/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,15/04/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,16/04/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,17/04/2012,18.0,27.0,4.0,11.0,8.0,3.0,16.0,0.0
106,18/04/2012,12.0,23.0,0.0,7.0,4.0,5.0,13.0,4.0
107,19/04/2012,19.0,24.0,0.0,11.0,8.0,8.0,20.0,12.0
108,20/04/2012,26.0,28.0,18.0,8.0,6.0,7.0,13.0,4.0
109,21/04/2012,24.0,20.0,0.0,4.0,2.0,3.0,10.0,4.0
110,22/04/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,23/04/2012,24.0,28.0,18.0,9.0,6.0,10.0,18.0,6.0
112,24/04/2012,32.0,24.0,4.0,7.0,6.0,8.0,12.0,4.0
113,25/04/2012,29.0,26.0,4.0,11.0,11.0,8.0,16.0,0.0
114,26/04/2012,30.0,30.0,0.0,11.0,8.0,6.0,19.0,27.0
115,27/04/2012,38.0,28.0,4.0,6.0,8.0,12.0,26.0,8.0
116,28/04/2012,0.0,6.0,4.0,0.0,0.0,5.0,0.0,4.0
117,29/04/2012,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0
118,30/04/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,01/05/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,02/05/2012,27.0,24.0,4.0,4.0,4.0,30.0,12.0,10.0
121,03/05/2012,22.0,24.0,4.0,12.0,4.0,11.0,16.0,8.0
122,04/05/2012,25.0,22.0,0.0,8.0,9.0,8.0,19.0,14.0
123,05/05/2012,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0
124,06/05/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,07/05/2012,37.0,40.0,16.0,4.0,5.0,5.0,23.0,4.0
126,08/05/2012,21.0,26.0,4.0,12.0,7.0,7.0,19.0,0.0
127,09/05/2012,31.0,20.0,4.0,7.0,5.0,6.0,28.0,8.0
128,10/05/2012,30.0,23.0,8.0,8.0,12.0,18.0,20.0,11.0
129,11/05/2012,26.0,26.0,0.0,4.0,9.0,11.0,24.0,4.0
130,12/05/2012,0.0,7.0,0.0,6.0,1.0,3.0,0.0,4.0
131,13/05/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,14/05/2012,30.0,30.0,0.0,5.0,8.0,6.0,13.0,8.0
133,15/05/2012,27.0,25.0,8.0,7.0,8.0,4.0,8.0,12.0
134,16/05/2012,41.0,28.0,0.0,7.0,6.0,6.0,19.0,4.0
135,17/05/2012,25.0,46.0,4.0,3.0,6.0,10.0,18.0,9.0
136,18/05/2012,52.0,26.0,0.0,9.0,9.0,15.0,16.0,5.0
137,19/05/2012,23.0,21.0,4.0,3.0,3.0,7.0,13.0,8.0
138,20/05/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,21/05/2012,21.0,22.0,4.0,10.0,12.0,10.0,23.0,0.0
140,22/05/2012,18.0,26.0,0.0,8.0,9.0,6.0,26.0,12.0
141,23/05/2012,25.0,22.0,0.0,10.0,5.0,1.0,6.0,16.0
142,24/05/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,25/05/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,26/05/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,27/05/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,28/05/2012,32.0,29.0,0.0,9.0,8.0,6.0,15.0,0.0
147,29/05/2012,35.0,26.0,0.0,7.0,5.0,9.0,16.0,8.0
148,30/05/2012,27.0,22.0,0.0,15.0,6.0,6.0,5.0,0.0
149,31/05/2012,48.0,31.0,8.0,11.0,9.0,9.0,9.0,0.0
150,01/06/2012,40.0,29.0,6.0,12.0,8.0,9.0,5.0,16.0
151,02/06/2012,0.0,5.0,0.0,4.0,2.0,24.0,0.0,0.0
152,03/06/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,04/06/2012,29.0,23.0,8.0,10.0,10.0,3.0,12.0,8.0
154,05/06/2012,50.0,37.0,4.0,9.0,14.0,2.0,10.0,18.0
155,06/06/2012,29.0,31.0,8.0,8.0,8.0,4.0,9.0,10.0
156,07/06/2012,24.0,33.0,0.0,6.0,10.0,4.0,12.0,6.0
157,08/06/2012,35.0,25.0,4.0,8.0,7.0,3.0,9.0,7.0
158,09/06/2012,9.0,5.0,0.0,3.0,0.0,1.0,2.0,0.0
159,10/06/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,11/06/2012,44.0,20.0,0.0,6.0,8.0,7.0,4.0,6.0
161,12/06/2012,42.0,25.0,4.0,12.0,14.0,3.0,6.0,10.0
162,13/06/2012,47.0,21.0,0.0,7.0,7.0,7.0,5.0,0.0
163,14/06/2012,35.0,28.0,4.0,12.0,6.0,5.0,11.0,0.0
164,15/06/2012,44.0,19.0,0.0,9.0,9.0,4.0,3.0,8.0
165,16/06/2012,0.0,6.0,4.0,0.0,3.0,3.0,0.0,4.0
166,17/06/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,18/06/2012,49.0,23.0,0.0,8.0,5.0,6.0,8.0,0.0
168,19/06/2012,54.0,24.0,4.0,7.0,8.0,5.0,4.0,0.0
169,20/06/2012,50.0,29.0,0.0,9.0,8.0,7.0,8.0,4.0
170,21/06/2012,52.0,25.0,7.0,7.0,14.0,10.0,6.0,4.0
171,22/06/2012,44.0,15.0,0.0,7.0,6.0,10.0,12.0,4.0
172,23/06/2012,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0
173,24/06/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,25/06/2012,40.0,25.0,4.0,10.0,9.0,9.0,10.0,0.0
175,26/06/2012,46.0,34.0,0.0,8.0,12.0,9.0,11.0,0.0
176,27/06/2012,45.0,22.0,0.0,13.0,10.0,4.0,8.0,4.0
177,28/06/2012,56.0,22.0,8.0,10.0,5.0,7.0,16.0,0.0
178,29/06/2012,37.0,24.0,4.0,11.0,8.0,10.0,8.0,0.0
179,30/06/2012,0.0,4.0,0.0,0.0,3.0,1.0,0.0,0.0
180,01/07/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,02/07/2012,47.0,35.0,4.0,9.0,7.0,11.0,8.0,4.0
182,03/07/2012,42.0,29.0,8.0,7.0,8.0,7.0,5.0,0.0
183,04/07/2012,43.0,23.0,0.0,8.0,7.0,10.0,7.0,0.0
184,05/07/2012,26.0,26.0,4.0,4.0,7.0,5.0,6.0,1.0
185,06/07/2012,42.0,23.0,0.0,7.0,4.0,9.0,10.0,4.0
186,07/07/2012,9.0,2.0,0.0,0.0,1.0,0.0,3.0,4.0
187,08/07/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,09/07/2012,47.0,23.0,0.0,8.0,6.0,11.0,8.0,4.0
189,10/07/2012,39.0,20.0,14.0,8.0,8.0,15.0,9.0,0.0
190,11/07/2012,44.0,40.0,6.0,6.0,4.0,10.0,5.0,0.0
191,12/07/2012,60.0,19.0,8.0,9.0,8.0,11.0,7.0,0.0
192,13/07/2012,39.0,28.0,8.0,7.0,7.0,11.0,6.0,8.0
193,14/07/2012,4.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0
194,15/07/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,16/07/2012,53.0,19.0,6.0,4.0,10.0,2.0,6.0,8.0
196,17/07/2012,50.0,32.0,0.0,4.0,8.0,6.0,5.0,8.0
197,18/07/2012,42.0,27.0,4.0,4.0,3.0,2.0,6.0,4.0
198,19/07/2012,45.0,25.0,0.0,8.0,4.0,9.0,5.0,4.0
199,20/07/2012,29.0,25.0,0.0,5.0,5.0,7.0,6.0,10.0
200,21/07/2012,9.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0
201,22/07/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,23/07/2012,44.0,19.0,20.0,7.0,8.0,7.0,12.0,4.0
203,24/07/2012,48.0,27.0,16.0,10.0,9.0,8.0,24.0,4.0
204,25/07/2012,36.0,23.0,0.0,8.0,7.0,10.0,7.0,8.0
205,26/07/2012,40.0,26.0,14.0,5.0,4.0,9.0,3.0,6.0
206,27/07/2012,35.0,23.0,4.0,8.0,3.0,8.0,9.0,4.0
207,28/07/2012,0.0,5.0,0.0,0.0,1.0,2.0,0.0,4.0
208,29/07/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,30/07/2012,50.0,30.0,6.0,6.0,10.0,5.0,8.0,8.0
210,31/07/2012,51.0,32.0,12.0,14.0,5.0,15.0,12.0,8.0
211,01/08/2012,30.0,23.0,4.0,5.0,5.0,8.0,6.0,8.0
212,02/08/2012,30.0,37.0,8.0,13.0,11.0,14.0,8.0,0.0
213,03/08/2012,44.0,26.0,4.0,10.0,8.0,8.0,4.0,8.0
214,04/08/2012,0.0,4.0,0.0,2.0,0.0,1.0,0.0,8.0
215,05/08/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,06/08/2012,40.0,20.0,4.0,7.0,9.0,9.0,8.0,0.0
217,07/08/2012,37.0,26.0,0.0,9.0,6.0,8.0,18.0,0.0
218,08/08/2012,41.0,28.0,0.0,9.0,7.0,13.0,5.0,8.0
219,09/08/2012,54.0,33.0,4.0,11.0,6.0,6.0,12.0,0.0
220,10/08/2012,44.0,23.0,0.0,2.0,7.0,7.0,11.0,4.0
221,11/08/2012,1.0,5.0,0.0,2.0,2.0,4.0,0.0,0.0
222,12/08/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,13/08/2012,32.0,32.0,0.0,8.0,2.0,7.0,15.0,4.0
224,14/08/2012,37.0,27.0,8.0,16.0,4.0,11.0,16.0,8.0
225,15/08/2012,48.0,22.0,12.0,7.0,5.0,11.0,16.0,11.0
226,16/08/2012,29.0,24.0,4.0,8.0,7.0,12.0,12.0,6.0
227,17/08/2012,31.0,16.0,0.0,6.0,4.0,12.0,14.0,4.0
228,18/08/2012,0.0,8.0,4.0,2.0,0.0,5.0,0.0,0.0
229,19/08/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,20/08/2012,41.0,35.0,16.0,14.0,8.0,18.0,14.0,4.0
231,21/08/2012,34.0,23.0,7.0,9.0,9.0,10.0,8.0,0.0
232,22/08/2012,37.0,30.0,4.0,6.0,8.0,9.0,9.0,0.0
233,23/08/2012,41.0,28.0,6.0,5.0,6.0,9.0,9.0,22.0
234,24/08/2012,36.0,18.0,0.0,5.0,9.0,14.0,18.0,4.0
235,25/08/2012,0.0,7.0,0.0,5.0,0.0,0.0,0.0,4.0
236,26/08/2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
